x cord,right_window,ray Left,ray Mid Left,ray Forward,ray Mid Right,ray Right,left_window,left,right
190,100,300,385,145,245,300,100,0,1
196,100,300,382,143,241,300,100,0,1
200,100,300,380,142,238,300,100,0,1
205,100,300,379,141,235,300,100,0,1
213,100,300,375,138,229,300,100,0,1
224,100,300,371,135,221,300,100,0,1
234,100,300,366,132,132,300,100,0,1
236,100,300,365,132,132,300,100,0,1
238,100,300,365,131,131,300,100,0,1
249,100,300,347,119,119,180,100,0,1
251,100,300,346,400,119,179,100,0,1
253,100,300,345,400,118,177,100,0,1
261,100,300,342,400,116,171,100,0,1
272,100,300,337,400,113,164,100,0,1
280,100,300,334,400,110,110,100,0,1
287,100,300,400,400,108,108,100,0,1
291,100,300,305,400,90,90,100,0,1
293,100,300,304,400,89,89,100,0,1
299,100,300,400,400,101,87,100,0,1
303,100,300,400,400,109,86,100,0,1
305,100,300,400,400,113,86,100,0,1
295,100,300,400,268,400,300,100,1,0
289,100,300,400,266,400,300,100,1,0
276,100,300,400,261,400,300,100,1,0
274,100,300,400,260,400,300,100,1,0
272,100,300,400,260,400,300,100,1,0
270,100,300,400,259,400,300,100,1,0
268,100,300,400,258,400,300,100,1,0
234,100,300,400,400,400,300,100,1,0
226,100,300,242,400,400,300,100,1,0
224,100,300,242,400,400,300,100,1,0
219,100,300,240,400,400,300,100,1,0
217,100,300,239,400,400,300,100,1,0
203,100,129,129,400,400,300,100,1,0
198,100,128,128,400,400,300,100,1,0
194,100,300,267,376,400,300,100,1,0
184,100,300,260,374,400,300,100,1,0
171,100,300,251,371,400,300,100,1,0
165,100,300,247,370,400,300,100,1,0
154,100,300,240,400,400,300,100,1,0
150,100,300,237,400,400,300,100,1,0
148,100,300,235,400,400,300,100,1,0
146,100,300,234,400,400,300,100,1,0
135,100,300,250,400,400,300,100,1,0
129,100,300,262,400,400,300,100,1,0
127,100,221,267,400,400,300,100,1,0
123,100,218,275,400,400,300,100,1,0
121,100,217,279,400,400,300,100,1,0
110,100,210,300,400,400,300,100,1,0
108,100,252,400,147,400,300,100,0,1
119,100,242,400,140,400,300,100,0,1
125,100,236,400,136,400,300,100,0,1
129,100,231,400,133,133,300,100,0,1
135,100,225,400,129,129,300,100,0,1
144,100,217,400,123,123,300,100,0,1
148,100,213,400,120,120,300,100,0,1
154,100,206,400,400,116,300,100,0,1
158,100,202,400,400,113,300,100,0,1
161,100,200,400,400,112,300,100,0,1
171,100,189,400,400,105,105,100,0,1
175,100,185,400,400,102,102,100,0,1
182,100,179,400,400,98,98,100,0,1
186,100,175,400,400,95,95,100,0,1
188,100,173,400,400,94,94,100,0,1
205,100,156,400,400,112,83,100,0,1
194,100,300,230,354,400,300,100,1,0
171,100,300,222,348,400,300,100,1,0
165,100,300,219,346,400,300,100,1,0
154,100,300,215,400,400,300,100,1,0
150,100,300,220,400,400,300,100,1,0
135,100,209,250,400,400,300,100,1,0
131,100,208,258,400,400,300,100,1,0
116,100,202,288,400,400,300,100,1,0
108,100,199,304,400,400,300,100,1,0
106,100,300,400,111,400,300,100,0,1
116,100,300,400,105,105,300,100,0,1
119,100,300,400,103,103,300,100,0,1
127,100,300,400,98,98,300,100,0,1
137,100,300,400,92,92,300,100,0,1
140,100,300,400,91,91,300,100,0,1
142,100,300,400,89,89,300,100,0,1
146,100,300,400,87,87,300,100,0,1
148,100,300,400,86,86,86,100,0,1
158,100,300,400,400,79,79,100,0,1
163,100,300,400,400,77,77,100,0,1
175,100,300,400,400,69,69,100,0,1
177,100,300,400,400,68,68,100,0,1
182,100,300,400,400,66,65,100,0,1
184,100,300,400,400,70,64,100,0,1
186,100,300,400,400,74,63,100,0,1
198,100,300,400,400,99,55,100,0,1
198,69,300,295,136,400,300,100,1,0
194,72,300,293,134,400,300,100,1,0
186,77,300,290,132,400,300,100,1,0
177,82,300,130,130,400,300,100,1,0
175,84,300,129,129,400,300,100,1,0
173,85,300,129,129,400,300,100,1,0
167,89,300,127,127,400,300,100,1,0
163,92,300,126,126,400,300,100,1,0
144,100,300,121,400,400,300,100,1,0
140,100,300,120,400,400,300,100,1,0
131,100,300,118,400,400,300,100,1,0
129,100,117,117,400,400,300,100,1,0
125,100,116,116,400,400,300,100,1,0
119,100,115,115,400,400,300,100,1,0
112,100,300,296,84,84,300,100,0,1
114,100,300,292,83,83,300,100,0,1
121,100,300,279,79,79,300,100,0,1
123,100,300,275,77,77,300,100,0,1
131,100,300,268,71,71,71,100,0,1
137,100,300,266,67,67,67,100,0,1
142,100,300,264,64,64,64,100,0,1
146,100,300,263,61,61,61,100,0,1
148,100,300,262,60,60,60,100,0,1
150,100,300,261,400,58,58,100,0,1
152,100,300,260,400,57,57,100,0,1
161,100,300,257,400,51,51,100,0,1
184,100,300,247,400,70,35,100,0,1
192,100,300,244,400,87,44,100,0,1
198,100,300,242,400,99,50,100,0,1
200,100,300,97,97,125,125,100,0,1
203,100,300,400,96,125,125,100,0,1
207,100,300,400,94,124,124,100,0,1
211,100,300,400,92,92,123,100,0,1
215,100,300,400,90,90,122,100,0,1
221,100,300,400,87,87,121,100,0,1
232,100,300,400,82,82,119,100,0,1
245,100,300,400,76,76,76,100,0,1
251,100,300,400,400,73,73,100,0,1
268,100,300,400,400,64,64,100,0,1
270,100,300,400,400,63,63,100,0,1
272,100,300,400,400,62,62,100,0,1
282,100,300,400,400,67,57,100,0,1
287,100,300,400,400,76,55,100,0,1
293,100,300,400,400,88,52,100,0,1
301,100,300,400,400,105,53,100,0,1
305,100,300,400,400,113,57,100,0,1
310,100,300,400,400,122,61,100,0,1
305,10,55,400,348,400,300,100,1,0
303,12,57,400,347,400,300,100,1,0
301,14,59,400,346,400,300,100,1,0
287,29,300,400,340,400,300,100,1,0
282,33,300,400,338,400,300,100,1,0
278,37,300,400,336,400,300,100,1,0
272,44,300,400,334,400,300,100,1,0
266,50,300,400,331,400,300,100,1,0
263,52,300,400,330,400,300,100,1,0
253,100,300,375,400,400,300,100,1,0
247,100,300,373,400,400,300,100,1,0
234,100,300,368,400,400,300,100,1,0
221,100,300,363,400,400,300,100,1,0
215,100,300,360,400,400,300,100,1,0
213,100,300,360,400,400,300,100,1,0
211,100,300,359,400,400,300,100,1,0
203,100,300,355,400,400,300,100,1,0
200,100,300,355,400,400,300,100,1,0
251,100,300,136,400,204,161,100,1,0
242,100,300,129,361,187,155,100,1,0
